,index,title,production_budget,domestic_gross,worldwide_gross,year,studio,runtime_minutes,genres,averagerating,numvotes,profit,roi
155,4253,10 Cloverfield Lane,5000000.0,72082999.0,108286422, 2016,,,,,,103286422.0,2065.7284400000003
156,2491,La La Land,20000000.0,151101803.0,426351163,2016,,,,,,406351163.0,2031.755815
157,2992,Beverly Hills Cop,15000000.0,234760478.0,316300000,1984,,,,,,301300000.0,2008.6666666666665
158,5129,"Lock, Stock and Two Smoking Barrels",1350000.0,3897569.0,28356188,1999,,,,,,27006188.0,2000.4583703703706
159,4259,Ouija,5000000.0,50856010.0,103300632, 2014,,,,,,98300632.0,1966.01264
160,3001,Annabelle: Creation,15000000.0,102092201.0,305384865, 2017,,,,,,290384865.0,1935.8990999999999
161,2723,Back to the Future,19000000.0,212259762.0,385524784,1985,,,,,,366524784.0,1929.0778105263157
162,5064,Cabin Fever,1500000.0,21158188.0,30351664, 2003,,,,,,28851664.0,1923.4442666666666
163,4261,No se Aceptan Devoluciones,5000000.0,44467206.0,100486616, 2013,,,,,,95486616.0,1909.73232
164,1623,It,35000000.0,327481748.0,697457969,2017,,,,,,662457969.0,1892.7370542857143
165,4506,El orfanato,4000000.0,7159147.0,79250193, 2007,,,,,,75250193.0,1881.254825
166,4255,The Visit,5000000.0,65206105.0,98677816, 2015,,,,,,93677816.0,1873.5563200000001
167,2865,A Quiet Place,17000000.0,188024361.0,334522294,2018,,,,,,317522294.0,1867.7782
168,5748,Exeter,25000.0,0.0,489792,2015,,,,,,464792.0,1859.1680000000001
169,3343,American Pie,12000000.0,101800948.0,234723148,1999,,,,,,222723148.0,1856.0262333333335
170,2765,The Mask,18000000.0,119920129.0,351620129, 1994,,,,,,333620129.0,1853.4451611111112
171,5337,Fruitvale Station,900000.0,16098998.0,17549645, 2013,,,,,,16649645.0,1849.9605555555554
172,5192,The Fog,1100000.0,21445318.0,21445820,1980,,,,,,20345820.0,1849.6200000000001
173,4674,Bowling for Columbine,3000000.0,21576018.0,58240487, 2002,,,,,,55240487.0,1841.3495666666665
174,5158,Super Troopers,1200000.0,18492362.0,23046142, 2002,,,,,,21846142.0,1820.5118333333335
175,3520,Alien,10700000.0,80930630.0,203628947, 1979,,,,,,192928947.0,1803.0742710280374
